"","tipo","classe","nproc","data","orgjulg","relator","ementa","decisao"
"1","Acórdão","AC - APELAÇÃO CIVEL","5005404-55.2021.4.04.7115","27/07/2022","SEXTA TURMA","JOÃO BATISTA PINTO SILVEIRA","PREVIDENCIÁRIO. CONVERSÃO DE AUXÍLIO-DOENÇA  EM APOSENTADORIA POR INVALIDEZ. ADICIONAL DE 25% INDEVIDO. DANOS MORAIS. DESCABIMENTO. RMI.
1. O adicional de 25% na aposentadoria por invalidez, previsto no art. 45 da LBPS, é indevido quando não comprovada a necessidade do auxílio permanente de outra pessoa. 2. Incabível indenização por dano moral em razão do indevido indeferimento/cancelamento de benefício previdenciário, pois não possui o ato administrativo o condão de provar danos morais experimentados pelo segurado. 3. O valor da RMI é calculado na forma prevista na legislação vigente na época da concessão da aposentadoria por invalidez. Pedido de tutela indeferido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 6ª Turma do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, negar provimento à apelação e indeferir o pedido de tutela, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"2","Acórdão","AC - APELAÇÃO CIVEL","5003283-85.2015.4.04.7108","26/07/2022","QUINTA TURMA","FRANCISCO DONIZETE GOMES","PREVIDENCIÁRIO. APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO. CONCESSÃO. TEMPO ESPECIAL. AGENTES NOCIVOS. RECONHECIMENTO. CONSECTÁRIOS LEGAIS. CORREÇÃO MONETÁRIA. TEMAS 810 DO STF E 905 DO STJ. JUROS DE MORA. DANO MORAL NÃO CONFIGURADO. 
1. Comprovada a exposição do segurado a agente nocivo, na forma exigida pela legislação previdenciária aplicável à espécie, possível reconhecer-se a especialidade da atividade laboral por ele exercida. 2. Comprovado o tempo de serviço/contribuição suficiente e implementada a carência mínima, é devida a aposentadoria por tempo de serviço/contribuição, a contar da data de entrada do requerimento administrativo, nos termos dos artigos 54 e 49, inciso II, da Lei 8.213/1991, bem como efetuar o pagamento das parcelas vencidas desde então. 3. A correção monetária das parcelas vencidas dos benefícios previdenciários será calculada conforme a variação do IGP-DI de 05/96 a 03/2006, e do INPC, a partir de 04/2006. 4. Os juros de mora devem incidir a contar da citação (Súmula 204 do STJ), na taxa de 1% (um por cento) ao mês, até 29 de junho de 2009. A partir de 30 de junho de 2009, os juros moratórios serão computados, uma única vez (sem capitalização), segundo percentual aplicável à caderneta de poupança. 5. Não havendo a comprovação do prejuízo moral que alega ter sofrido, conforme posição jurisprudencial predominante, a negativa de concessão de benefício previdenciário em sede administrativa não autoriza indenização por dano moral.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 5ª Turma do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar parcial provimento à apelação da parte autora e determinar a implantação do benefício, via CEAB, com comprovação nos autos, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"3","Acórdão","AG - AGRAVO DE INSTRUMENTO","5026558-03.2022.4.04.0000","22/07/2022","TURMA REGIONAL SUPLEMENTAR DE SC","SEBASTIÃO OGÊ MUNIZ","AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO E PROCESSUAL CIVIL. COMPETÊNCIA. VALOR DA CAUSA SUPERIOR A 60 SALÁRIOS-MÍNIMOS. POSSIBILIDADE DE CUMULAÇÃO DE PEDIDOS. CONCESSÃO DE BENEFÍCIO. INDENIZAÇÃO. DANOS MORAIS. QUANTIFICAÇÃO. COMPETÊNCIA DO JUÍZO FEDERAL COMUM.
1. O § 2º do artigo 327 do Código de Processo Civil faculta à parte autora a cumulação de pedidos, mesmo que para cada pedido corresponda um procedimento diverso, desde que opte pelo procedimento comum.
2. Conjugando-se o montante pretendido a título de dano moral, com o valor das parcelas vencidas e das 12 (doze) parcelas vincendas do benefício, tem-se que o valor da causa superava, na data de distribuição do feito, o equivalente a 60 (sessenta) salários-mínimos, de modo que não é cabível a declinação da competência para o Juizado Especial Federal - JEF.
3. Agravo de instrumento provido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia Turma Regional Suplementar de Santa Catarina do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"4","Acórdão","AG - AGRAVO DE INSTRUMENTO","5024554-90.2022.4.04.0000","22/07/2022","TURMA REGIONAL SUPLEMENTAR DE SC","SEBASTIÃO OGÊ MUNIZ","AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO E PROCESSUAL CIVIL. COMPETÊNCIA. VALOR DA CAUSA SUPERIOR A 60 SALÁRIOS-MÍNIMOS. POSSIBILIDADE DE CUMULAÇÃO DE PEDIDOS. CONCESSÃO DE BENEFÍCIO. INDENIZAÇÃO. DANOS MORAIS. QUANTIFICAÇÃO. COMPETÊNCIA DO JUÍZO FEDERAL COMUM.
1. O § 2º do artigo 327 do Código de Processo Civil faculta à parte autora a cumulação de pedidos, mesmo que para cada pedido corresponda um procedimento diverso, desde que opte pelo procedimento comum.
2. Conjugando-se o montante pretendido a título de dano moral, com o valor das parcelas vencidas e das 12 (doze) parcelas vincendas do benefício, tem-se que o valor da causa superava, na data de distribuição do feito, o equivalente a 60 (sessenta) salários-mínimos, de modo que não é cabível a declinação da competência para o Juizado Especial Federal - JEF.
3. Agravo de instrumento provido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia Turma Regional Suplementar de Santa Catarina do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"5","Acórdão","AG - AGRAVO DE INSTRUMENTO","5029614-44.2022.4.04.0000","22/07/2022","TURMA REGIONAL SUPLEMENTAR DE SC","SEBASTIÃO OGÊ MUNIZ","AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO E PROCESSUAL CIVIL. COMPETÊNCIA. VALOR DA CAUSA SUPERIOR A 60 SALÁRIOS-MÍNIMOS. POSSIBILIDADE DE CUMULAÇÃO DE PEDIDOS. CONCESSÃO DE BENEFÍCIO. INDENIZAÇÃO. DANOS MORAIS. QUANTIFICAÇÃO. COMPETÊNCIA DO JUÍZO FEDERAL COMUM.
1. O § 2º do artigo 327 do Código de Processo Civil faculta à parte autora a cumulação de pedidos, mesmo que para cada pedido corresponda um procedimento diverso, desde que opte pelo procedimento comum.
2. Conjugando-se o montante pretendido a título de dano moral, com o valor das parcelas vencidas e das 12 (doze) parcelas vincendas do benefício, tem-se que o valor da causa superava, na data de distribuição do feito, o equivalente a 60 (sessenta) salários-mínimos, de modo que não é cabível a declinação da competência para o Juizado Especial Federal - JEF.
3. Agravo de instrumento provido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia Turma Regional Suplementar de Santa Catarina do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"6","Acórdão","AG - AGRAVO DE INSTRUMENTO","5029367-63.2022.4.04.0000","22/07/2022","TURMA REGIONAL SUPLEMENTAR DE SC","SEBASTIÃO OGÊ MUNIZ","AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO E PROCESSUAL CIVIL. COMPETÊNCIA. VALOR DA CAUSA SUPERIOR A 60 SALÁRIOS-MÍNIMOS. POSSIBILIDADE DE CUMULAÇÃO DE PEDIDOS. CONCESSÃO DE BENEFÍCIO. INDENIZAÇÃO. DANOS MORAIS. QUANTIFICAÇÃO. COMPETÊNCIA DO JUÍZO FEDERAL COMUM.
1. O § 2º do artigo 327 do Código de Processo Civil faculta à parte autora a cumulação de pedidos, mesmo que para cada pedido corresponda um procedimento diverso, desde que opte pelo procedimento comum.
2. Conjugando-se o montante pretendido a título de dano moral, com o valor das parcelas vencidas e das 12 (doze) parcelas vincendas do benefício, tem-se que o valor da causa superava, na data de distribuição do feito, o equivalente a 60 (sessenta) salários-mínimos, de modo que não é cabível a declinação da competência para o Juizado Especial Federal - JEF.
3. Agravo de instrumento provido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia Turma Regional Suplementar de Santa Catarina do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"7","Acórdão","AG - AGRAVO DE INSTRUMENTO","5027967-14.2022.4.04.0000","22/07/2022","TURMA REGIONAL SUPLEMENTAR DE SC","SEBASTIÃO OGÊ MUNIZ","AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO E PROCESSUAL CIVIL. COMPETÊNCIA. VALOR DA CAUSA SUPERIOR A 60 SALÁRIOS-MÍNIMOS. POSSIBILIDADE DE CUMULAÇÃO DE PEDIDOS. CONCESSÃO DE BENEFÍCIO. INDENIZAÇÃO. DANOS MORAIS. QUANTIFICAÇÃO. COMPETÊNCIA DO JUÍZO FEDERAL COMUM.
1. O § 2º do artigo 327 do Código de Processo Civil faculta à parte autora a cumulação de pedidos, mesmo que para cada pedido corresponda um procedimento diverso, desde que opte pelo procedimento comum.
2. Conjugando-se o montante pretendido a título de dano moral, com o valor das parcelas vencidas e das 12 (doze) parcelas vincendas do benefício, tem-se que o valor da causa superava, na data de distribuição do feito, o equivalente a 60 (sessenta) salários-mínimos, de modo que não é cabível a declinação da competência para o Juizado Especial Federal - JEF.
3. Agravo de instrumento provido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia Turma Regional Suplementar de Santa Catarina do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"8","Acórdão","AG - AGRAVO DE INSTRUMENTO","5027796-57.2022.4.04.0000","22/07/2022","TURMA REGIONAL SUPLEMENTAR DE SC","SEBASTIÃO OGÊ MUNIZ","AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO E PROCESSUAL CIVIL. COMPETÊNCIA. VALOR DA CAUSA SUPERIOR A 60 SALÁRIOS-MÍNIMOS. POSSIBILIDADE DE CUMULAÇÃO DE PEDIDOS. CONCESSÃO DE BENEFÍCIO. INDENIZAÇÃO. DANOS MORAIS. QUANTIFICAÇÃO. COMPETÊNCIA DO JUÍZO FEDERAL COMUM.
1. O § 2º do artigo 327 do Código de Processo Civil faculta à parte autora a cumulação de pedidos, mesmo que para cada pedido corresponda um procedimento diverso, desde que opte pelo procedimento comum.
2. Conjugando-se o montante pretendido a título de dano moral, com o valor das parcelas vencidas e das 12 (doze) parcelas vincendas do benefício, tem-se que o valor da causa superava, na data de distribuição do feito, o equivalente a 60 (sessenta) salários-mínimos, de modo que não é cabível a declinação da competência para o Juizado Especial Federal - JEF.
3. Agravo de instrumento provido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia Turma Regional Suplementar de Santa Catarina do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"9","Acórdão","AG - AGRAVO DE INSTRUMENTO","5026325-06.2022.4.04.0000","22/07/2022","TURMA REGIONAL SUPLEMENTAR DE SC","SEBASTIÃO OGÊ MUNIZ","AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO E PROCESSUAL CIVIL. COMPETÊNCIA. VALOR DA CAUSA SUPERIOR A 60 SALÁRIOS-MÍNIMOS. POSSIBILIDADE DE CUMULAÇÃO DE PEDIDOS. CONCESSÃO DE BENEFÍCIO. INDENIZAÇÃO. DANOS MORAIS. QUANTIFICAÇÃO. COMPETÊNCIA DO JUÍZO FEDERAL COMUM.
1. O § 2º do artigo 327 do Código de Processo Civil faculta à parte autora a cumulação de pedidos, mesmo que para cada pedido corresponda um procedimento diverso, desde que opte pelo procedimento comum.
2. Conjugando-se o montante pretendido a título de dano moral, com o valor das parcelas vencidas e das 12 (doze) parcelas vincendas do benefício, tem-se que o valor da causa superava, na data de distribuição do feito, o equivalente a 60 (sessenta) salários-mínimos, de modo que não é cabível a declinação da competência para o Juizado Especial Federal - JEF.
3. Agravo de instrumento provido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia Turma Regional Suplementar de Santa Catarina do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
"10","Acórdão","AG - AGRAVO DE INSTRUMENTO","5023620-35.2022.4.04.0000","22/07/2022","TURMA REGIONAL SUPLEMENTAR DE SC","SEBASTIÃO OGÊ MUNIZ","AGRAVO DE INSTRUMENTO. PREVIDENCIÁRIO E PROCESSUAL CIVIL. COMPETÊNCIA. VALOR DA CAUSA SUPERIOR A 60 SALÁRIOS-MÍNIMOS. POSSIBILIDADE DE CUMULAÇÃO DE PEDIDOS. CONCESSÃO DE BENEFÍCIO. INDENIZAÇÃO. DANOS MORAIS. QUANTIFICAÇÃO. COMPETÊNCIA DO JUÍZO FEDERAL COMUM.
1. O § 2º do artigo 327 do Código de Processo Civil faculta à parte autora a cumulação de pedidos, mesmo que para cada pedido corresponda um procedimento diverso, desde que opte pelo procedimento comum.
2. Conjugando-se o montante pretendido a título de dano moral, com o valor das parcelas vencidas e das 12 (doze) parcelas vincendas do benefício, tem-se que o valor da causa superava, na data de distribuição do feito, o equivalente a 60 (sessenta) salários-mínimos, de modo que não é cabível a declinação da competência para o Juizado Especial Federal - JEF.
3. Agravo de instrumento provido.","Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia Turma Regional Suplementar de Santa Catarina do Tribunal Regional Federal da 4ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado."
